      1 GO:0000019	regulation of mitotic recombination
      1 GO:0070821	tertiary granule membrane
      1 GO:0070829	heterochromatin maintenance
      1 GO:0070840	dynein complex binding
      1 GO:0070864	sperm individualization complex
      1 GO:0070865	investment cone
      1 GO:0070867	mating projection tip membrane
      1 GO:0070873	regulation of glycogen metabolic process
      1 GO:0070874	negative regulation of glycogen metabolic process
      1 GO:0070879	fungal-type cell wall beta-glucan metabolic process
      1 GO:0070880	fungal-type cell wall beta-glucan biosynthetic process
      1 GO:0070898	RNA polymerase III preinitiation complex assembly
      1 GO:0070901	mitochondrial tRNA methylation
      1 GO:0070903	mitochondrial tRNA thio-modification
      1 GO:0070918	production of small RNA involved in gene silencing by RNA
      1 GO:0070935	3'-UTR-mediated mRNA stabilization
      1 GO:0070936	protein K48-linked ubiquitination
      1 GO:0070983	dendrite guidance
      1 GO:0070989	oxidative demethylation
      1 GO:0070990	snRNP binding
      1 GO:0070991	medium-chain-acyl-CoA dehydrogenase activity
      1 GO:0070997	neuron death
      1 GO:0071000	response to magnetism
      1 GO:0071006	U2-type catalytic step 1 spliceosome
      1 GO:0071008	U2-type post-mRNA release spliceosomal complex
      1 GO:0071020	post-spliceosomal complex
      1 GO:0071021	U2-type post-spliceosomal complex
      1 GO:0071030	nuclear mRNA surveillance of spliceosomal pre-mRNA splicing
      1 GO:0071031	nuclear mRNA surveillance of mRNA 3'-end processing
      1 GO:0071033	nuclear retention of pre-mRNA at the site of transcription
      1 GO:0071034	CUT catabolic process
      1 GO:0071043	CUT metabolic process
      1 GO:0071049	nuclear retention of pre-mRNA with aberrant 3'-ends at the site of transcription
      1 GO:0071072	negative regulation of phospholipid biosynthetic process
      1 GO:0071073	positive regulation of phospholipid biosynthetic process
      1 GO:0071107	response to parathyroid hormone
      1 GO:0071141	SMAD protein complex
      1 GO:0071164	RNA trimethylguanosine synthase activity
      1 GO:0071168	protein localization to chromatin
      1 GO:0071203	WASH complex
      1 GO:0071204	histone pre-mRNA 3'end processing complex
      1 GO:0071208	histone pre-mRNA DCP binding
      1 GO:0071230	cellular response to amino acid stimulus
      1 GO:0071244	cellular response to carbon dioxide
      1 GO:0071262	regulation of translational initiation in response to starvation
      1 GO:0071264	positive regulation of translational initiation in response to starvation
      1 GO:0071265	L-methionine biosynthetic process
      1 GO:0071267	L-methionine salvage
      1 GO:0071268	homocysteine biosynthetic process
      1 GO:0071285	cellular response to lithium ion
      1 GO:0071300	cellular response to retinoic acid
      1 GO:0071342	regulation of establishment of actomyosin contractile ring localization
      1 GO:0071349	cellular response to interleukin-12
      1 GO:0071357	cellular response to type I interferon
      1 GO:0071359	cellular response to dsRNA
      1 GO:0071367	cellular response to brassinosteroid stimulus
      1 GO:0071369	cellular response to ethylene stimulus
      1 GO:0071374	cellular response to parathyroid hormone stimulus
      1 GO:0071377	cellular response to glucagon stimulus
      1 GO:0071379	cellular response to prostaglandin stimulus
      1 GO:0071380	cellular response to prostaglandin E stimulus
      1 GO:0071384	cellular response to corticosteroid stimulus
      1 GO:0071385	cellular response to glucocorticoid stimulus
      1 GO:0071390	cellular response to ecdysone
      1 GO:0071400	cellular response to oleic acid
      1 GO:0071422	succinate transmembrane transport
      1 GO:0071424	rRNA (cytosine-N4-)-methyltransferase activity
      1 GO:0071425	hematopoietic stem cell proliferation
      1 GO:0071439	clathrin complex
      1 GO:0071447	cellular response to hydroperoxide
      1 GO:0071462	cellular response to water stimulus
      1 GO:0071464	cellular response to hydrostatic pressure
      1 GO:0071468	cellular response to acidic pH
      1 GO:0071490	cellular response to far red light
      1 GO:0071494	cellular response to UV-C
      1 GO:0071498	cellular response to fluid shear stress
      1 GO:0071526	semaphorin-plexin signaling pathway
      1 GO:0071535	RING-like zinc finger domain binding
      1 GO:0071543	diphosphoinositol polyphosphate metabolic process
      1 GO:0071545	inositol phosphate catabolic process
      1 GO:0071549	cellular response to dexamethasone stimulus
      1 GO:0071566	UFM1 activating enzyme activity
      1 GO:0071586	CAAX-box protein processing
      1 GO:0071630	nuclear protein quality control by the ubiquitin-proteasome system
      1 GO:0071649	regulation of chemokine (C-C motif) ligand 5 production
      1 GO:0071651	positive regulation of chemokine (C-C motif) ligand 5 production
      1 GO:0071669	plant-type cell wall organization or biogenesis
      1 GO:0071671	regulation of smooth muscle cell chemotaxis
      1 GO:0071672	negative regulation of smooth muscle cell chemotaxis
      1 GO:0071674	mononuclear cell migration
      1 GO:0071680	response to indole-3-methanol
      1 GO:0071681	cellular response to indole-3-methanol
      1 GO:0071682	endocytic vesicle lumen
      1 GO:0071722	detoxification of arsenic-containing substance
      1 GO:0071772	response to BMP
      1 GO:0071773	cellular response to BMP stimulus
      1 GO:0071786	endoplasmic reticulum tubular network organization
      1 GO:0071805	potassium ion transmembrane transport
      1 GO:0071816	tail-anchored membrane protein insertion into ER membrane
      1 GO:0071817	MMXD complex
      1 GO:0071825	protein-lipid complex subunit organization
      1 GO:0071887	leukocyte apoptotic process
      1 GO:0071894	histone H2B conserved C-terminal lysine ubiquitination
      1 GO:0071917	triose-phosphate transmembrane transporter activity
      1 GO:0071921	cohesin loading
      1 GO:0071922	regulation of cohesin loading
      1 GO:0071926	endocannabinoid signaling pathway
      1 GO:0071933	Arp2/3 complex binding
      1 GO:0071940	fungal-type cell wall assembly
      1 GO:0071960	maintenance of mitotic sister chromatid cohesion, centromeric
      1 GO:0071962	mitotic sister chromatid cohesion, centromeric
      1 GO:0071988	protein localization to spindle pole body
      1 GO:0072175	epithelial tube formation
      1 GO:0072318	clathrin coat disassembly
      1 GO:0072321	chaperone-mediated protein transport
      1 GO:0072334	UDP-galactose transmembrane transport
      1 GO:0072344	rescue of stalled ribosome
      1 GO:0072353	cellular age-dependent response to reactive oxygen species
      1 GO:0072379	ER membrane insertion complex
      1 GO:0072380	TRC complex
      1 GO:0072396	response to cell cycle checkpoint signaling
      1 GO:0072402	response to DNA integrity checkpoint signaling
      1 GO:0072416	signal transduction involved in spindle checkpoint
      1 GO:0072423	response to DNA damage checkpoint signaling
      1 GO:0072453	signal transduction involved in G2 cell size control checkpoint
      1 GO:0072471	signal transduction involved in cell size control checkpoint
      1 GO:0072477	signal transduction involved in mitotic spindle checkpoint
      1 GO:0072480	mitotic spindle assembly checkpoint signaling
      1 GO:0072486	signal transduction involved in spindle assembly checkpoint
      1 GO:0072488	ammonium transmembrane transport
      1 GO:0072490	toluene-containing compound metabolic process
      1 GO:0072491	toluene-containing compound catabolic process
      1 GO:0072520	seminiferous tubule development
      1 GO:0072546	ER membrane protein complex
      1 GO:0072596	establishment of protein localization to chloroplast
      1 GO:0072598	protein localization to chloroplast
      1 GO:0072658	maintenance of protein location in membrane
      1 GO:0072660	maintenance of protein location in plasma membrane
      1 GO:0072671	mitochondria-associated ubiquitin-dependent protein catabolic process
      1 GO:0072690	single-celled organism vegetative growth phase
      1 GO:0072750	cellular response to leptomycin B
      1 GO:0072755	cellular response to benomyl
      1 GO:0072756	cellular response to paraquat
      1 GO:0075296	positive regulation of ascospore formation
      1 GO:0075341	host cell PML body
      1 GO:0075733	intracellular transport of virus
      1 GO:0080001	mucilage extrusion from seed coat
      1 GO:0080022	primary root development
      1 GO:0080024	indolebutyric acid metabolic process
      1 GO:0080049	L-gulono-1,4-lactone dehydrogenase activity
      1 GO:0080050	regulation of seed development
      1 GO:0080111	DNA demethylation
      1 GO:0080114	positive regulation of glycine hydroxymethyltransferase activity
      1 GO:0080115	myosin XI tail binding
      1 GO:0080120	CAAX-box protein maturation
      1 GO:0080151	positive regulation of salicylic acid mediated signaling pathway
      1 GO:0080168	abscisic acid transport
      1 GO:0080181	lateral root branching
      1 GO:0080188	gene silencing by RNA-directed DNA methylation
      1 GO:0085020	protein K6-linked ubiquitination
      1 GO:0086036	regulation of cardiac muscle cell membrane potential
      1 GO:0089720	caspase binding
      1 GO:0089721	phosphoenolpyruvate transmembrane transporter activity
      1 GO:0089722	phosphoenolpyruvate transmembrane transport
      1 GO:0090052	regulation of pericentric heterochromatin assembly
      1 GO:0090054	regulation of silent mating-type cassette heterochromatin assembly
      1 GO:0090056	regulation of chlorophyll metabolic process
      1 GO:0090083	regulation of inclusion body assembly
      1 GO:0090090	negative regulation of canonical Wnt signaling pathway
      1 GO:0090109	regulation of cell-substrate junction assembly
      1 GO:0090110	COPII-coated vesicle cargo loading
      1 GO:0090135	actin filament branching
      1 GO:0090153	regulation of sphingolipid biosynthetic process
      1 GO:0090155	negative regulation of sphingolipid biosynthetic process
      1 GO:0090207	regulation of triglyceride metabolic process
      1 GO:0090240	positive regulation of histone H4 acetylation
      1 GO:0090261	positive regulation of inclusion body assembly
      1 GO:0090286	obsolete cytoskeletal anchoring at nuclear membrane
      1 GO:0090306	spindle assembly involved in meiosis
      1 GO:0090308	regulation of DNA methylation-dependent heterochromatin assembly
      1 GO:0090309	positive regulation of DNA methylation-dependent heterochromatin assembly
      1 GO:0090313	regulation of protein targeting to membrane
      1 GO:0090317	negative regulation of intracellular protein transport
      1 GO:0090324	negative regulation of oxidative phosphorylation
      1 GO:0090335	regulation of brown fat cell differentiation
      1 GO:0090343	positive regulation of cell aging
      1 GO:0090344	negative regulation of cell aging
      1 GO:0090345	cellular organohalogen metabolic process
      1 GO:0090346	cellular organofluorine metabolic process
      1 GO:0090382	phagosome maturation
      1 GO:0090498	extrinsic component of Golgi membrane
      1 GO:0090522	vesicle tethering involved in exocytosis
      1 GO:0090543	Flemming body
      1 GO:0090576	RNA polymerase III transcription regulator complex
